Key;Item Type;Publication Year;Author;Title;Journal Name;DOI;Inclusion/Exclusion
A4SPQTMQ;journalArticle;2024;"Ishii, K.; Ono, S.; Masago, T.; Ishizuki, M.; Mori, T.; Hanatsuka, Y.";Fine-Scaled Predictive Modeling of Road Surface Conditions and Temperature in Urban Areas;IEEE Transactions on Intelligent Transportation Systems;10.1109/TITS.2024.3433004;QA1
KF9LC696;journalArticle;2023;"Kosarevych, R.; Jonek-Kowalska, I.; Rusyn, B.; Sachenko, A.; Lutsyk, O.";Analysing Pine Disease Spread Using Random Point Process by Remote Sensing of a Forest Stand;Remote Sensing;10.3390/rs15163941;QA2
WEETS7EQ;journalArticle;2024;"Chen, B.; Chen, Z.; Liu, X.C.; Yi, Z.";Bayesian inference-based spatiotemporal modeling with interim activities for EV charging etiquette;Transportation Research Part D: Transport and Environment;10.1016/j.trd.2024.104060;included
HIJHLTV2;journalArticle;2023;"Herraiz, C.; Vicente, J.; Gortázar, C.; Acevedo, P.";Large scale spatio-temporal modelling of risk factors associated with tuberculosis exposure at the wildlife-livestock interface;Preventive Veterinary Medicine;10.1016/j.prevetmed.2023.106049;QA2
WBZPFNJR;journalArticle;2023;"Lindmark, M.; Anderson, S.C.; Gogina, M.; Casini, M.";Evaluating drivers of spatiotemporal variability in individual condition of a bottom-associated marine fish, Atlantic cod (Gadus morhua);ICES Journal of Marine Science;10.1093/icesjms/fsad084;included
MIK2ELSS;journalArticle;2024;"Foo, Y.; Flegg, J.A.";A spatio-temporal model of multi-marker antimalarial resistance;Journal of the Royal Society Interface;10.1098/rsif.2023.0570;QA6
7EMP88LY;journalArticle;2024;"Pasanen, T.-M.; Helske, J.; Högmander, H.; Ketola, T.";Spatio-temporal modeling of co-dynamics of smallpox, measles, and pertussis in pre-healthcare Finland;PeerJ;10.7717/peerj.18155;included
YAQH55KB;journalArticle;2023;"Olmos, M.; Ianelli, J.; Ciannelli, L.; Spies, I.; McGilliard, C.R.; Thorson, J.T.";Estimating climate-driven phenology shifts and survey availability using fishery-dependent data;Progress in Oceanography;10.1016/j.pocean.2023.103035;included
8L645MQB;journalArticle;2024;Barazzetti, L.;Spatio-temporal analysis of georeferenced time-series applied to structural monitoring;Journal of Civil Structural Health Monitoring;10.1007/s13349-023-00743-z;QA1
K56CSRR6;journalArticle;2023;"Gayawan, E.; Somo-Aina, O.; Kuti, O.";Analysis of the space-time trends in open defecation in Nigeria;Environmental Science and Pollution Research;10.1007/s11356-023-26161-8;QA6
YHWEESYJ;journalArticle;2023;"Modethed, W.; Singhla, T.; Boonsri, K.; Pringproa, K.; Sthitmatee, N.; Vinitchaikul, P.; Sansamur, C.; Kreausukon, K.; Punyapornwithaya, V.";Identifying the patterns and sizes of the first lumpy skin disease outbreak clusters in Northern Thailand with a high degree of dairy farm aggregation using spatio-temporal models;PLoS ONE;10.1371/journal.pone.0291692;QA2
FLFJPDJR;journalArticle;2023;"McDonald, R.R.; Keith, D.M.; Sameoto, J.A.; Mills Flemming, J.";Integrating habitat features into spatio-temporal biomass dynamics models for a better understanding of stock productivity: a case study of sea scallop in the Bay of Fundy;ICES Journal of Marine Science;10.1093/icesjms/fsad103;included
RNAT2SXX;journalArticle;2023;"Katale, R.N.; Gemechu, D.B.";Spatio-temporal analysis of malaria incidence and its risk factors in North Namibia;Malaria Journal;10.1186/s12936-023-04577-4;QA2
EGSCNH5F;journalArticle;2023;"Semakula, M.; Niragire, F.; Nsanzimana, S.; Remera, E.; Faes, C.";Spatio-temporal dynamic of the COVID-19 epidemic and the impact of imported cases in Rwanda;BMC Public Health;10.1186/s12889-023-15888-1;QA7
MPJFJE96;journalArticle;2023;"Shirzad, R.; Alesheikh, A.A.; Asgharzadeh, M.; Hoseini, B.; Lotfata, A.";Spatio-temporal modeling of human leptospirosis prevalence using the maximum entropy model;BMC Public Health;10.1186/s12889-023-17391-z;QA1
R9D4VY2W;journalArticle;2023;"García, J.A.; Acero, F.J.; Portero, J.";A Bayesian hierarchical spatio-temporal model for extreme temperatures in Extremadura (Spain) simulated by a Regional Climate Model;Climate Dynamics;10.1007/s00382-022-06638-x;included
MKR8JZGR;journalArticle;2023;"Valente, F.; Laurini, M.";A spatio-temporal analysis of fire occurrence patterns in the Brazilian Amazon;Scientific Reports;10.1038/s41598-023-39875-z;QA6
5FTKNL2V;journalArticle;2023;"Ma, S.; Yu, K.; Tang, M.-L.; Pan, J.; Härdle, W.K.; Tian, M.";A Bayesian multistage spatio-temporally dependent model for spatial clustering and variable selection;Statistics in Medicine;10.1002/sim.9889;included
S4LFWE89;journalArticle;2023;"Wang, H.; Molina, J.-M.; Dray-Spira, R.; Schmidt, A.J.; Hickson, F.; van de Vijver, D.; Jonas, K.J.";Spatio-temporal changes in pre-exposure prophylaxis uptake among MSM in mainland France between 2016 and 2021: a Bayesian small area approach with MSM population estimation;Journal of the International AIDS Society;10.1002/jia2.26089;QA2
L7JP6GUA;journalArticle;2023;Jankiewicz, M.;Regional economic growth and unemployment in the European Union – a spatio-temporal analysis at the NUTS-2 level (2013–2019);Hungarian Geographical Bulletin;10.15201/hungeobull.72.2.6;QA2
3MIPWB5W;journalArticle;2023;"Nguyen, M.H.; Nguyen, T.H.T.; Molenberghs, G.; Abrams, S.; Hens, N.; Faes, C.";The impact of national and international travel on spatio-temporal transmission of SARS-CoV-2 in Belgium in 2021;BMC Infectious Diseases;10.1186/s12879-023-08368-9;included
BX5IIIZX;journalArticle;2023;"Dabral, A.; Shankhwar, R.; Martins-Ferreira, M.A.C.; Pandey, S.; Kant, R.; Meena, R.K.; Chandra, G.; Ginwal, H.S.; Thakur, P.K.; Bhandari, M.S.; Sahu, N.; Nayak, S.";Phenotypic, Geological, and Climatic Spatio-Temporal Analyses of an Exotic Grevillea robusta in the Northwestern Himalayas;Sustainability (Switzerland);10.3390/su151612292;QA1
34QKL9AS;journalArticle;2023;"Teixeira, P.C.; Ordens, C.M.; McIntyre, N.; Pagliero, L.; Crosbie, R.";Spatio-temporal distribution of atmospheric chloride deposition over a small island;Hydrological Processes;10.1002/hyp.15052;QA2
DDZ3SJ96;journalArticle;2023;"Han, Q.; Shan, X.; Jin, X.; Gorfine, H.";Overcoming gaps in a seasonal time series of Japanese anchovy abundance to analyse interannual trends;Ecological Indicators;10.1016/j.ecolind.2023.110189;QA6
FCVQ54FD;journalArticle;2023;"Palma, M.; Maggio, S.; Cappello, C.; Congedi, A.; De Iaco, S.";Spatio-temporal modeling of groundwater quality deterioration and resource depletion;Hydrogeology Journal;10.1007/s10040-023-02692-9;QA7
RN4MBHYB;journalArticle;2023;"Grüss, A.; Charsley, A.R.; Thorson, J.T.; Anderson, O.F.; O'Driscoll, R.L.; Wood, B.; Breivik, O.N.; O'Leary, C.A.";Integrating survey and observer data improves the predictions of New Zealand spatio-temporal models;ICES Journal of Marine Science;10.1093/icesjms/fsad129;included
Z9EBWDQ5;journalArticle;2023;"Orozco-Acosta, E.; Riebler, A.; Adin, A.; Ugarte, M.D.";A scalable approach for short-term disease forecasting in high spatial resolution areal data;Biometrical Journal;10.1002/bimj.202300096;included
KSMK9EUU;journalArticle;2023;"Hosseini-Shokouh, S.-M.; Ghanei, M.; Mousavi, B.; Bagheri, H.; Bahadori, M.; Meskarpour-Amiri, M.; Mehdizadeh, P.";Social disparities and inequalities in healthcare access and expenditures among Iranians exposed to sulfur mustard: a national study using spatio-temporal analysis;BMC Health Services Research;10.1186/s12913-023-10352-7;QA2
SVS76255;journalArticle;2023;"Liu, X.; Sun, Y.; Yin, Y.; Dai, X.; Bergquist, R.; Gao, F.; Liu, R.; Liu, J.; Wang, F.; Lv, X.; Zhang, Z.";Influence of urbanization on schistosomiasis infection risk in Anhui Province based on sixteen year's longitudinal surveillance data: a spatio-temporal modelling study;Infectious Diseases of Poverty;10.1186/s40249-023-01163-3;included
3UJWSGHY;journalArticle;2023;"Espinasse, M.; Mikkelsen, E.; Sørbye, S.H.; Skern-Mauritzen, M.; Falk-Andersson, J.; Fauchald, P.";Seafood production in Northern Norway: Analyzing variation and co-development in aquaculture and coastal fisheries;Marine Policy;10.1016/j.marpol.2023.105777;QA2
E3EMHQZE;journalArticle;2023;"Fard, P.; Chung, M.K.J.; Estiri, H.; Patel, C.J.";Spatio-temporal interpolation and delineation of extreme heat events in California between 2017 and 2021;Environmental Research;10.1016/j.envres.2023.116984;QA1
JXNIMD4W;journalArticle;2023;"Vicente, G.; Goicoa, T.; Ugarte, M.D.";Multivariate Bayesian spatio-temporal P-spline models to analyze crimes against women;Biostatistics;10.1093/biostatistics/kxab042;included
XYC8RPLW;journalArticle;2023;"Zhan, Y.; Gu, H.; Li, X.";Study on association factors of intestinal infectious diseases based-Bayesian spatio-temporal model;BMC Infectious Diseases;10.1186/s12879-023-08665-3;QA6
MAVL3JMJ;journalArticle;2023;"Nguyen, V.-A.; Bartels, D.W.; Gilligan, C.A.";Modelling the spread and mitigation of an emerging vector-borne pathogen: Citrus greening in the U.S.;PLoS Computational Biology;10.1371/journal.pcbi.1010156;included
UMK8TFM9;journalArticle;2022;"Kolář, J.; Macek, M.; Tkáč, P.; Novák, D.; Abraham, V.";Long-term demographic trends and spatio-temporal distribution of past human activity in Central Europe: Comparison of archaeological and palaeoecological proxies;Quaternary Science Reviews;10.1016/j.quascirev.2022.107834;QA2
RLBL9AZW;journalArticle;2022;"Ayele, G.T.; Seka, A.M.; Taddese, H.; Jemberrie, M.A.; Ndehedehe, C.E.; Demissie, S.S.; Awange, J.L.; Jeong, J.; Hamilton, D.P.; Melesse, A.M.";Relationship of Attributes of Soil and Topography with Land Cover Change in the Rift Valley Basin of Ethiopia;Remote Sensing;10.3390/rs14143257;QA1
PYI787RU;journalArticle;2022;"Zhang, B.; Li, F.; Sang, H.; Cressie, N.";Inferring Changes in Arctic Sea Ice through a Spatio-Temporal Logistic Autoregression Fitted to Remote-Sensing Data;Remote Sensing;10.3390/rs14235995;included
78NYQPQN;journalArticle;2023;"Adams, J.; Khan, N.; Morris, A.; Elhabian, S.";Learning spatiotemporal statistical shape models for non-linear dynamic anatomies;Frontiers in Bioengineering and Biotechnology;10.3389/fbioe.2023.1086234;included
KSWVZYV2;journalArticle;2022;"Briz-Redón, Á.; Serrano-Aroca, Á.";On the association between COVID-19 vaccination levels and incidence and lethality rates at a regional scale in Spain;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-021-02166-y;included
LTVILYCD;journalArticle;2023;"Armando, C.J.; Rocklöv, J.; Sidat, M.; Tozan, Y.; Mavume, A.F.; Bunker, A.; Sewes, M.O.";Climate variability, socio-economic conditions and vulnerability to malaria infections in Mozambique 2016–2018: a spatial temporal analysis;Frontiers in Public Health;10.3389/fpubh.2023.1162535;QA6
SVHZ3GD7;journalArticle;2022;"Suzuki, K.K.; Kuwano, Y.; Kanamori, Y.; Kawauchi, Y.; Uchimura, Y.; Yasuda, M.; Kondoh, H.; Oka, T.";A 25-Year Study of the Population Dynamics of a Harvested Population of Sika Deer on Kyushu Island, Japan;Forests;10.3390/f13050760;QA6
ULJZ2SLG;journalArticle;2023;"Li, G.; Denise, H.; Diggle, P.; Grimsley, J.; Holmes, C.; James, D.; Jersakova, R.; Mole, C.; Nicholson, G.; Smith, C.R.; Richardson, S.; Rowe, W.; Rowlingson, B.; Torabi, F.; Wade, M.J.; Blangiardo, M.";A spatio-temporal framework for modelling wastewater concentration during the COVID-19 pandemic;Environment International;10.1016/j.envint.2023.107765;included
N99WQEDZ;journalArticle;2022;"Di Biagio, K.; Baldini, M.; Dolcini, J.; Serafini, P.; Sarti, D.; Dorillo, I.; Ranzi, A.; Settimo, G.; Bartolacci, S.; Simeoni, T.V.; Prospero, E.";Atmospheric particulate matter effects on SARS-CoV-2 infection and spreading dynamics: A spatio-temporal point process model;Environmental Research;10.1016/j.envres.2022.113617;QA6
ZKKRJNHU;journalArticle;2022;"Ibeji, J.U.; Mwambi, H.; Iddrisu, A.-K.";Bayesian spatio-temporal modelling and mapping of malaria and anaemia among children between 0 and 59 months in Nigeria;Malaria Journal;10.1186/s12936-022-04319-y;included
FFUZ7YJN;journalArticle;2023;"Leandro, A.D.S.; Ayala, M.J.C.; Lopes, R.D.; Martins, C.A.; Maciel-de-Freitas, R.; Villela, D.A.M.";Entomo-Virological Aedes aegypti Surveillance Applied for Prediction of Dengue Transmission: A Spatio-Temporal Modeling Study;Pathogens;10.3390/pathogens12010004;QA6
EK6I5B2Z;journalArticle;2022;"Barak-Ventura, R.; Marín, M.R.; Porfiri, M.";A spatiotemporal model of firearm ownership in the United States;Patterns;10.1016/j.patter.2022.100546;QA5
AXE6KCXL;journalArticle;2023;"Li, H.; Liang, D.; Zhou, Y.; Shi, Y.; Feng, D.; Shi, S.";Spatiotemporal charging demand models for electric vehicles considering user strategies;Frontiers in Energy Research;10.3389/fenrg.2022.1013154;QA1
7YS3WCPH;journalArticle;2022;"Celani, A.; Giudici, P.";Endemic–epidemic models to understand COVID-19 spatio-temporal evolution;Spatial Statistics;10.1016/j.spasta.2021.100528;QA7
ZJMXV9WL;journalArticle;2022;"Santos-Fernandez, E.; Ver Hoef, J.M.; Peterson, E.E.; McGree, J.; Isaak, D.J.; Mengersen, K.";Bayesian spatio-temporal models for stream networks;Computational Statistics and Data Analysis;10.1016/j.csda.2022.107446;QA4
R69UEH35;journalArticle;2023;"Amaral, A.V.R.; González, J.A.; Moraga, P.";Spatio-temporal modeling of infectious diseases by integrating compartment and point process models;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-022-02354-4;included
ABRSXFCN;journalArticle;2022;"Fairbanks, E.L.; Baylis, M.; Daly, J.M.; Tildesley, M.J.";Inference for a spatio-temporal model with partial spatial data: African horse sickness virus in Morocco;Epidemics;10.1016/j.epidem.2022.100566;QA6
DT9KR9EB;journalArticle;2022;"Saez, M.; Barceló, M.A.";Spatial prediction of air pollution levels using a hierarchical Bayesian spatiotemporal model in Catalonia, Spain;Environmental Modelling and Software;10.1016/j.envsoft.2022.105369;included
G2CIKV3A;journalArticle;2023;"Jeong, J.; Kim, M.; Choi, J.";Investigating the spatio-temporal variation of hepatitis A in Korea using a Bayesian model;Frontiers in Public Health;10.3389/fpubh.2022.1085077;included
QI3G8RWD;journalArticle;2022;"Campbell, L.P.; Guralnick, R.P.; Giordano, B.V.; Sallam, M.F.; Bauer, A.M.; Tavares, Y.; Allen, J.M.; Efstathion, C.; Bartlett, S.; Wishard, R.; Xue, R.-D.; Allen, B.; Tressler, M.; Qualls, W.; Burkett-Cadena, N.D.";Spatiotemporal Modeling of Zoonotic Arbovirus Transmission in Northeastern Florida Using Sentinel Chicken Surveillance and Earth Observation Data;Remote Sensing;10.3390/rs14143388;QA2
MXWQ5MXC;journalArticle;2022;"Omori, K.L.; Thorson, J.T.";Identifying species complexes based on spatial and temporal clustering from joint dynamic species distribution models;ICES Journal of Marine Science;10.1093/icesjms/fsac015;QA2
V4EQG6J3;journalArticle;2022;"Punyapornwithaya, V.; Seesupa, S.; Phuykhamsingha, S.; Arjkumpa, O.; Sansamur, C.; Jarassaeng, C.";Spatio-temporal patterns of lumpy skin disease outbreaks in dairy farms in northeastern Thailand;Frontiers in Veterinary Science;10.3389/fvets.2022.957306;QA2
G3D5YL8N;journalArticle;2022;"Jana, S.; Fu, S.H.; Gelband, H.; Brown, P.; Jha, P.";Spatio-temporal modelling of malaria mortality in India from 2004 to 2013 from the Million Death Study;Malaria Journal;10.1186/s12936-022-04112-x;QA6
N8FKFC3H;journalArticle;2021;"Holcomb, K.M.; Reiner, R.C.; Barker, C.M.";Spatio-temporal impacts of aerial adulticide applications on populations of West Nile virus vector mosquitoes;Parasites and Vectors;10.1186/s13071-021-04616-6;QA2
5QTJYIWG;journalArticle;2022;"Briz-Redón, Á.; Iftimi, A.; Correcher, J.F.; De Andrés, J.; Lozano, M.; Romero-García, C.";A comparison of multiple neighborhood matrix specifications for spatio-temporal model fitting: a case study on COVID-19 data;Stochastic Environmental Research and Risk Assessment;10.1007/s00477-021-02077-y;included
JNMX3SQB;journalArticle;2021;"Freitas, L.P.; Schmidt, A.M.; Cossich, W.; Cruz, O.G.; Carvalho, M.S.";Spatio-temporal modelling of the first chikungunya epidemic in an intra-urban setting: The role of socioeconomic status, environment and temperature;PLoS Neglected Tropical Diseases;10.1371/journal.pntd.0009537;included
CRCVSA5J;journalArticle;2021;"Naik, R.; Sharma, L.";Spatio-temporal modelling for the evaluation of an altered Indian saline Ramsar site and its drivers for ecosystem management and restoration;PLoS ONE;10.1371/journal.pone.0248543;QA1
X5YBFA9S;journalArticle;2021;"Choi, B.; Bergés, M.; Bou-Zeid, E.; Pozzi, M.";Short-term probabilistic forecasting of meso-scale near-surface urban temperature fields;Environmental Modelling and Software;10.1016/j.envsoft.2021.105189;included
